,nest,site,year,lat,lon,cov_1m,cov_5m,prot,pred,estHD,HD,HD_diff,HD_equal,init_calc,init_date,age_diff,init_diff,hatch_diff,camera_old,camera,missing,cam_fate_feb,nest_age_feb,final_obs_int_feb,field_fate,field_fate2,field_fate3,field_fate4,field_fate5,field_fate6,field_fate7,field_fate_eq,cam_fate1,cam_fate2,final_fate1,final_fate2,nest_age1,nest_age2,final_obs_int,final_obs_int2,final_obs_int3,final_obs_date,final_obs_date2,species,likely_failed,HF,HF_C,HF_MC,MC,marked_U,i,j,j_adj,k,k_adj,j.cam,k.cam,n_obs,n_days,> hatch?,penultimate,final,obs_dates,obs_history,obs_ints,new_notes,camera_notes,field_notes
21,10024.0,RUTW,2019,29.76149,-93.13569,,,sym,,43.0,43.0,0.0,True,,24.0,0.0,0.0,,N,N,,,19.0,4.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,19.0,19.0,4.0,4.0,4,43,43,LETE,0.0,0,0.0,False,True,False,25.0,39,39,43,43,,,8,18.0,0.0,3E,fail,25|26|29|32|33|34|39|43,1E|BON|BON|BON|3E|BON|3E|fail,0|1|3|3|1|1|5|4,,,
22,10025.0,RUTW,2019,29.76152,-93.13572,,,sym,,43.0,43.0,0.0,True,,24.0,0.0,0.0,,N,N,,,15.0,6.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,15.0,15.0,6.0,6.0,6,39,39,LETE,1.0,0,0.0,False,True,False,25.0,33,33,39,39,,,6,14.0,0.0,2E,0E,25|26|29|32|33|39,1E|BON|BON|BON|2E|0E,0|1|3|3|1|6,,,
23,10026.0,RUTW,2019,29.76153,-93.13573,,,sym,,42.0,42.0,0.0,True,,23.0,0.0,0.0,,N,N,,,16.0,6.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,16.0,16.0,6.0,6.0,6,39,39,LETE,1.0,0,0.0,False,True,False,25.0,33,33,39,39,,,6,14.0,0.0,2E,0E,25|26|29|32|33|39,2E|BON|BON|BON|2E|0E,0|1|3|3|1|6,,,
24,10027.0,RUTW,2019,29.76156,-93.13577,,,sym,,42.0,42.0,0.0,True,,23.0,0.0,0.0,,N,N,,,16.0,6.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,16.0,16.0,6.0,6.0,6,39,39,LETE,1.0,0,0.0,False,True,False,25.0,33,33,39,39,,,6,14.0,0.0,3E,0E,25|26|29|32|33|39,2E|BON|BON|BON|3E|0E,0|1|3|3|1|6,,,
25,10028.0,RUTW,2019,29.76158,-93.13583,,,sym,,42.0,42.0,0.0,True,,23.0,0.0,0.0,,N,N,,,16.0,6.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,16.0,16.0,6.0,6.0,6,39,39,LETE,1.0,0,0.0,False,True,False,25.0,33,33,39,39,,,6,14.0,0.0,3E,0E,25|26|29|32|33|39,2E|BON|BON|BON|3E|0E,0|1|3|3|1|6,,,
26,10029.0,RUTW,2019,29.76157,-93.13584,,,sym,,43.0,43.0,0.0,True,,24.0,0.0,0.0,,N,N,,,15.0,6.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,15.0,15.0,6.0,6.0,6,39,39,LETE,1.0,0,0.0,False,True,False,25.0,33,33,39,39,,,6,14.0,0.0,2E,0E,25|26|29|32|33|39,2E|BON|BON|BON|2E|0E,0|1|3|3|1|6,,,
27,10030.0,RUTW,2019,29.76156,-93.13586,,,sym,,42.0,42.0,0.0,True,,23.0,0.0,0.0,,N,N,,,10.0,1.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,10.0,10.0,1.0,1.0,1,33,33,LETE,1.0,0,0.0,False,True,False,25.0,32,32,33,33,,,5,8.0,0.0,BON,fail,25|26|29|32|33,2E|BON|BON|BON|fail,0|1|3|3|1,,,trampled overnight by herd of cattle observed in fenced area on 13 May
28,10031.0,RUTW,2019,29.76174,-93.13648,,,sym,,43.0,43.0,0.0,True,,24.0,0.0,0.0,,N,N,,,9.0,1.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,9.0,9.0,1.0,1.0,1,33,33,LETE,1.0,0,0.0,False,True,False,25.0,32,32,33,33,,,5,8.0,0.0,BON,fail,25|26|29|32|33,2E|BON|BON|BON|fail,0|1|3|3|1,,,trampled overnight by herd of cattle observed in fenced area on 13 May
29,10032.0,RUTW,2019,29.76186,-93.13681,,,sym,,45.0,45.0,0.0,True,,26.0,0.0,0.0,,N,N,,,11.0,3.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,11.0,11.0,3.0,3.0,3,37,37,LETE,1.0,0,0.0,False,True,False,25.0,34,34,37,37,,,5,12.0,0.0,BON,fail,25|29|32|34|37,1E|3E|BON|BON|fail,0|4|3|2|3,,,trampled by cattle
30,10033.0,RUTW,2019,29.76199,-93.13726,,,sym,,45.0,45.0,0.0,True,,26.0,0.0,0.0,,Y,Y,N,,8.0,2.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,Ca,Ca,Ca,Ca,8.0,8.0,2.0,2.0,2,34,34,LETE,1.0,0,0.0,False,False,False,25.0,32,32,34,34,,,5,9.0,0.0,BON,fail,25|26|29|32|34,1E|2E|3E|BON|fail,0|1|3|3|2,,,trampled overnight by herd of cattle observed in fenced area on 13 May
31,10034.0,RUTW,2019,29.76195,-93.1374,,,sym,,45.0,45.0,0.0,True,,26.0,0.0,0.0,,N,N,,,8.0,2.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,8.0,8.0,2.0,2.0,2,34,34,LETE,1.0,0,0.0,False,True,False,25.0,32,32,34,34,,,5,9.0,0.0,BON,fail,25|26|29|32|34,1E|BON|BON|BON|fail,0|1|3|3|2,,,trampled overnight by herd of cattle observed in fenced area on 13 May
32,10035.0,RUTW,2019,29.76203,-93.13754,,,sym,,43.0,45.0,2.0,False,,26.0,2.0,0.0,,N,N,,,21.0,2.0,H,H,H,H,H,H,H,False,,,H,H,19.0,21.0,2.0,2.0,0,45,45,LETE,0.0,1,0.0,True,True,False,25.0,45,45,45,45,,,8,20.0,0.0,3E,hatch day,25|26|29|32|34|39|43|45,2E|BON|BON|BON|3E|BON|3E|hatch day,0|1|3|3|2|5|4|2,,,cattle disturbance on May 13; 5/23: stick knocked over
33,10036.0,RUTW,2019,29.76206,-93.13769,,,sym,,45.0,48.0,3.0,False,,29.0,3.0,0.0,,N,N,,,22.0,2.0,H,H,H,H,H,H,H,False,,,H,H,19.0,22.0,2.0,2.0,0,48,48,LETE,0.0,1,0.0,True,True,False,25.0,48,48,48,48,,,10,23.0,0.0,3E,hatching,25|26|29|32|34|39|43|45|46|48,1E|1E|2E|BON|3E|BON|3E|BON|3E|hatching,0|1|3|3|2|5|4|2|1|2,,,
34,10037.0,RUTW,2019,29.7621,-93.13808,,,sym,,42.0,42.0,0.0,True,,23.0,0.0,0.0,,N,N,,,11.0,2.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,11.0,11.0,2.0,2.0,2,34,34,LETE,1.0,0,0.0,False,True,False,25.0,32,32,34,34,,,5,9.0,0.0,BON,fail,25|26|29|32|34,2E|BON|BON|BON|fail,0|1|3|3|2,,,trampled overnight by herd of cattle observed in fenced area on 13 May
35,10038.0,RUTW,2019,29.76242,-93.13933,,,none,,40.0,40.0,0.0,True,,21.0,0.0,0.0,,N,N,,,22.0,4.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,22.0,22.0,4.0,4.0,4,43,43,LETE,0.0,0,0.0,False,True,False,25.0,39,39,43,43,,,7,18.0,0.0,3E,0E,25|26|29|32|34|39|43,3E|not see|3E|BON|BON|3E|0E,0|1|3|3|2|5|4,,,"5/23: SB found stick, nest has 3 trampled eggs"
36,10039.0,RUTW,2019,29.7624,-93.13937,,,none,,45.0,45.0,0.0,True,,26.0,0.0,0.0,,N,N,,,6.0,3.0,F,F,F,F,F,F,F,False,,,F,F,6.0,6.0,3.0,3.0,3,32,32,LETE,1.0,0,0.0,False,True,False,25.0,29,29,32,32,,,4,7.0,0.0,3E,fail,25|26|29|32,1E|BON|3E|fail,0|1|3|3,,,
37,10040.0,RUTW,2019,29.76239,-93.13967,,,none,,40.0,40.0,0.0,True,,21.0,0.0,0.0,,N,N,,,11.0,3.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,11.0,11.0,3.0,3.0,3,32,32,LETE,1.0,0,0.0,False,True,False,25.0,29,29,32,32,,,4,7.0,0.0,3E,fail,25|26|29|32,2E|BON|3E|fail,0|1|3|3,,,
38,10041.0,RUTW,2019,29.76243,-93.13976,,,none,,45.0,45.0,0.0,True,,26.0,0.0,0.0,,N,N,,,6.0,3.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,6.0,6.0,3.0,3.0,3,32,32,LETE,1.0,0,0.0,False,True,False,25.0,29,29,32,32,,,4,7.0,0.0,2E,fail,25|26|29|32,1E|BON|2E|fail,0|1|3|3,,,
39,10042.0,RUTW,2019,29.76249,-93.13992,,,none,,45.0,45.0,0.0,True,,26.0,0.0,0.0,,N,N,,,6.0,3.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,6.0,6.0,3.0,3.0,3,32,32,LETE,1.0,0,0.0,False,True,False,25.0,29,29,32,32,,,3,7.0,0.0,1E,fail,25|29|32,1E|1E|fail,0|4|3,,,
40,10043.0,RUTW,2019,29.76261,-93.14024,,,none,,37.0,37.0,0.0,True,,18.0,0.0,0.0,,N,N,,,11.0,4.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,11.0,11.0,4.0,4.0,4,29,29,LETE,1.0,0,0.0,False,True,False,25.0,25,25,29,29,,,2,4.0,0.0,3E,1E,25|29,3E|1E,0|4,,,9-May loose egg spotted outside of nest scrape. Cattle tracks all around the area and no LETE activity here
41,10044.0,RUTW,2019,29.76262,-93.14032,,,none,,40.0,40.0,0.0,True,,21.0,0.0,0.0,,N,N,,,8.0,4.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,8.0,8.0,4.0,4.0,4,29,29,LETE,1.0,0,0.0,False,True,False,25.0,25,25,29,29,,,2,4.0,0.0,2E,0E,25|29,2E|0E,0|4,,,cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.
42,10045.0,RUTW,2019,29.76262,-93.14041,,,none,,42.0,42.0,0.0,True,,23.0,0.0,0.0,,N,N,,,6.0,4.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,6.0,6.0,4.0,4.0,4,29,29,LETE,1.0,0,0.0,False,True,False,25.0,25,25,29,29,,,2,4.0,0.0,2E,0E,25|29,2E|0E,0|4,,,cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.
43,10046.0,RUTW,2019,29.76352,-93.14488,0.0,0.0,none,,42.0,42.0,0.0,True,,23.0,0.0,0.0,,N,N,,,6.0,4.0,S,S,S,S,S,S,S,False,,,S,S,6.0,6.0,4.0,4.0,4,29,29,LETE,1.0,0,0.0,False,True,False,25.0,25,25,29,29,,,2,4.0,0.0,2E,fail,25|29,2E|fail,0|4,,,nest placement was below wrack line. 8 May- constant south winds brought surge with storms approaching late May 9th into May 10th.
44,10047.0,RUTW,2019,29.76375,-93.14532,,,none,,45.0,45.0,0.0,True,,26.0,0.0,0.0,,N,N,,H,13.0,6.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,13.0,13.0,6.0,6.0,6,39,39,LETE,1.0,0,0.0,False,True,False,25.0,33,33,39,39,,,4,14.0,0.0,3E,0E,25|29|33|39,2E|3E|3E|0E,0|4|4|6,,,when was camera placed?/picked up?
45,10048.0,RUTW,2019,29.76377,-93.14546,,,none,,45.0,45.0,0.0,True,,26.0,,0.0,,Y,Y,N,,,5.0,U,U,U,U,U,U,U,False,Hu,Hu,Hu,Hu,22.0,22.0,5.0,5.0,5,48,48,LETE,0.0,7,0.0,True,True,True,26.0,43,43,48,48,,,6,22.0,0.0,2E,no stick,25|29|33|39|43|48,1E|2E|3E|3E|2E|no stick,0|4|4|6|4|5,,lots of human/dog/vehicle/cattle disturbance,28 May- KBB adult above me. No nest stick or eggs. Possibly chick but heavy Memorial day traffic did a lot of damage to this area.
46,10049.0,RUTW,2019,29.76381,-93.14569,,,none,,40.0,40.0,0.0,True,,21.0,,0.0,,N,N,,,,5.0,U-F,U-F,U-F,U-F,U-F,U-F,U-F,False,,,U-F,U-F,27.0,27.0,5.0,5.0,5,48,48,LETE,0.0,0,0.0,False,True,False,26.0,43,43,48,48,,,7,22.0,1.0,1E,no stick,25|29|33|34|39|43|48,2E|2E|2E|2E|1E|1E|no stick,0|4|4|1|5|4|5,,,28 May- likely failed from Memorial Day traffic
47,10050.0,RUTW,2019,29.76383,-93.14576,,,none,,44.0,44.0,0.0,True,,25.0,0.0,0.0,,N,N,,,4.0,4.0,A,A,A,A,A,A,A,False,,,A,A,4.0,4.0,4.0,4.0,4,29,29,LETE,1.0,0,0.0,False,True,False,25.0,25,25,29,29,,,2,4.0,0.0,1E,fail,25|29,1E|fail,0|4,,,cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.
48,10051.0,RUTW,2019,29.76386,-93.1458,,,none,,43.0,43.0,0.0,True,,24.0,0.0,0.0,,N,N,,,9.0,4.0,F,F,F,F,F,F,F,False,,,F,F,9.0,9.0,4.0,4.0,4,33,33,LETE,1.0,0,0.0,False,True,False,25.0,29,29,33,33,,,3,8.0,0.0,3E,fail,25|29|33,2E|3E|fail,0|4|4,,,"empty scrape, unknown cause no evidence confirming cause of failure"
49,10052.0,RUTW,2019,29.76404,-93.14674,,,none,,40.0,40.0,0.0,True,,21.0,0.0,0.0,,N,N,,,12.0,4.0,F,F,F,F,F,F,F,False,,,F,F,12.0,12.0,4.0,4.0,4,33,33,LETE,1.0,0,0.0,False,True,False,25.0,29,29,33,33,,,3,8.0,0.0,3E,fail,25|29|33,3E|3E|fail,0|4|4,,,"empty scrape, unknown cause no evidence confirming cause of failure"
50,10053.0,RUTW,2019,29.76409,-93.14695,,,none,,40.0,40.0,0.0,True,,21.0,0.0,0.0,,N,N,,,12.0,4.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,12.0,12.0,4.0,4.0,4,33,33,LETE,1.0,0,0.0,False,True,False,25.0,29,29,33,33,,,3,8.0,0.0,2E,fail,25|29|33,2E|2E|fail,0|4|4,,,cattle tracks all through the nest area
51,10054.0,RUTW,2019,29.76433,-93.14821,,,none,,43.0,43.0,0.0,True,,24.0,0.0,0.0,,N,N,,,9.0,4.0,D,D,D,D,D,D,D,False,,,D,D,9.0,9.0,4.0,4.0,4,33,33,LETE,1.0,0,0.0,False,True,False,25.0,29,29,33,33,,,3,8.0,0.0,2E,fail,25|29|33,2E|2E|fail,0|4|4,,,"coyote tracks at the nest, pictures from 13May"
52,10055.0,RUTW,2019,29.76453,-93.14896,,,none,,40.0,40.0,0.0,True,,21.0,0.0,0.0,,N,N,,,12.0,4.0,D,D,D,D,D,D,D,False,,,D,D,12.0,12.0,4.0,4.0,4,33,33,LETE,1.0,0,0.0,False,True,False,25.0,29,29,33,33,,,3,8.0,0.0,3E,fail,25|29|33,3E|3E|fail,0|4|4,,,"coyote tracks at the nest, pictures from 13May"
53,10056.0,RUTW,2019,29.76455,-93.14906,,,none,,44.0,44.0,0.0,True,,25.0,0.0,0.0,,N,N,,,8.0,4.0,D,D,D,D,D,D,D,False,,,D,D,8.0,8.0,4.0,4.0,4,33,33,LETE,1.0,0,0.0,False,True,False,25.0,29,29,33,33,,,3,8.0,0.0,1E,fail,25|29|33,1E|1E|fail,0|4|4,,,ghost crab hole at nest- pictures from 13 May
54,10057.0,ROJH,2019,29.63619,-92.76887,,,sym,,41.0,41.0,0.0,True,,22.0,0.0,0.0,,N,N,,,11.0,5.0,S,S,S,S,S,S,S,False,,,S,S,11.0,11.0,5.0,5.0,5,33,33,LETE,1.0,0,0.0,False,True,False,26.0,28,28,33,33,,,3,7.0,0.0,3E,fail,26|28|33,3E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
55,10058.0,ROJH,2019,29.63622,-92.76918,,,sym,,41.0,41.0,0.0,True,,22.0,0.0,0.0,,N,N,,,11.0,5.0,S,S,S,S,S,S,S,False,,,S,S,11.0,11.0,5.0,5.0,5,33,33,LETE,1.0,0,0.0,False,True,False,26.0,28,28,33,33,,,3,7.0,0.0,2E,fail,26|28|33,2E|2E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
