"","allData.nest","allData.NOTES","allData.cam_notes","allData.new_notes"
"100","10100","nest area underwater; no eggs found - may have been predated first?",NA,NA
"101","10101","6 June- adults nearby broken wing display indicating chicks nearby. KBB searched area and found another nest that was not known about with 2C, 1E about 130 feet from nest 101. So fate unknown.",NA,NA
"102","10102",NA,NA,NA
"103","10103","run over. nest was along edge of cattle road during Memorial Day weekend.",NA,NA
"104","10104",NA,NA,NA
"105","10105",NA,NA,NA
"106","10106","6/21 - remaining egg has shell stuck to it, floated above surface, angled. probably others hatched?",NA,NA
"107","10107","6/17- nest scrape was wet, no sign of feathers/shell fragments. adults were not extra frantic and no chicks seen in area",NA,NA
"108","10108","check if cam was deployed on 3 jun","what I thought was 231 is probablyy 108 based on where it appears to be located and the observation dates? But not sure dates match up. Cam was pulled 6/3/2019","I think that 108 is the 6s unknown nest based on where it is on the map. Cam recording from ""1/1"" to ""1/7"". Cows on ""1/6"" and cam shifted. folder marked '108' doesn't have 108 photos"
"109","10109",NA,NA,NA
"110","10110","ghost crab and cattle disturbance nearby, may also have been affected by garbage dumping/burning episode on Sunday June 2- SB",NA,NA
"111","10111","trampled by cattle- June 2",NA,NA
"112","10113","12 June- egg was starring on June 6th, must have been abandoned and found by ants while hatching.",NA,NA
"113","10114","KBB has photos of chick",NA,NA
"114","10115","6/17 - not checked due to cows in area that wanted to follow me/may have trampled nest",NA,NA
"115","10116","11 June- area overwashed from June 5th surge likely the cause of failure.",NA,NA
"116","10117",NA,NA,NA
"117","10118","high tides/storm surge from 6/17 morning storms",NA,NA
"118","10119","high tides/storm surge from 6/17 morning storms",NA,NA
"119","10120","27 june- predator tracks nearby but not leading to the nest. the scrape looks washed like it was hit hard with heavy rainfall. failed unk cause",NA,NA
"120","10121",NA,NA,NA
"121","10122","6/17- camera placed; 6/21- empty scrape, no signs of hatch/fail","camera too far to tell fate; was originally U/NA for fate/camfate but weknow it failed because of estimated hatch date","where are these photos?"
"122","10123","6/17 - not checked due to cows in area that wanted to follow me/may have trampled nest; 6/26 - lots of cattle disturbance in area, not found, maybe check back next time for chicks? prob failed from cattle",NA,NA
"123","10124","12 June nest is just outside the eastern end of fencing along the dirt road used by ATVs. 16 June, nest found empty. Predator?",NA,NA
"124","10125","6/21- found buried egg shell with hole punctured in it and dried up egg contents (picture)","bird never seen in photos…","did not see any avian predators, but lots of cattle which could have crushed egg?"
"125","10126","why Ca? changed to A","changed cam fate from A to Ca","update: bird seen in first few photos; probably cattle. maybe was never a nest? Bird never seen on nest in camera photos. Could be egg that washed out of nest or similar"
"126","10127","why H? no chicks seen in field?","tiny chick head visible in photo 6/27 (??); visible again 6/29 IS THIS THE ONE I THOUGHT WAS 324??","cam starts 10-jan 11:35pm; shrike?? On 18-jan"
"127","10128",NA,NA,NA
"128","10129",NA,NA,NA
"129","10130","22 June- ghost crab holes nearby. Maybe took an egg? 27 june- chick banded at nest by KBB",NA,NA
"130","10131",NA,NA,NA
"131","10132",NA,NA,NA
"132","10133",NA,NA,NA
"133","10134",NA,NA,NA
"134","10135","22 June- KBB photo of ghost crab hole and vehicle tracks at nest",NA,NA
"135","10136","10-July adults around the area but no chicks seen or observed with female.",NA,NA
"136","10137","5 July nest was down to one egg, no adult behavior indicating chicks nearby, thinking maybe picked off by a ghost crab? lots of holes around the area. depredated by crab, final egg abandoned",NA,NA
"137","10138","22 June- run over by vehicle",NA,NA
"138","10139",NA,NA,NA
"139","10140",NA,NA,NA
"140","10141",NA,NA,NA
"141","10142","failed; likely omit for nest model given long gap between nest checks.",NA,NA
"142","10143",NA,NA,NA
"143","10144",NA,NA,NA
"144","10145",NA,NA,NA
"145","10146",NA,NA,NA
"146","10147","10 July- baby chick poops in scrape indicating hatch. 2 small downy chicks observed from shoreline being fed just south of nest stick. Possibly from this nest. But it definitely hatched.",NA,NA
"147","10148",NA,NA,NA
"148","10149",NA,NA,NA
"149","10150","28 June attempted a box trap on nest, not a good method for this species.",NA,NA
"150","10151","not tracked due to logistics and storms",NA,NA
"151","10152",NA,NA,NA
"152","10153","8 Jul - attempted hand net and bow net capture. bird escaped bow net and method was not reattempted. SB has more detailed notes; 18 Jul one had started hatching, was being eaten by ants. removed that egg and bird came back to incubate",NA,NA
"153","10154","TS Barry storm surge- beach scoured and all nests and chicks lost.",NA,NA
"154","10155",NA,NA,NA
"155","10156",NA,NA,NA
"156","10157",NA,NA,NA
"157","10158",NA,NA,NA
"158","10159",NA,NA,NA
"159","10160",NA,NA,NA
"160","10161",NA,NA,NA
"161","10162",NA,NA,NA
"162","10163",NA,NA,NA
"163","10164",NA,NA,NA
"164","10165",NA,NA,NA
"165","10166","Barry storm impacts",NA,NA
"166","10167","Barry storm impacts",NA,NA
"167","10168","not tracked well enough for model?",NA,NA
"168","10169","not tracked well enough for model?",NA,NA
"169","10170","not tracked well enough for model?",NA,NA
"170","10171","not tracked well enough for model?",NA,NA
"171","10172","not tracked well enough for model?",NA,NA
"172","10173","not tracked well enough for model?",NA,NA
"173","10174","not tracked well enough for model?",NA,NA
"174","10175","7/25/19 - Female captured at nest and banded.",NA,NA
"175","10176","TS Barry storm surge- all nests and chicks lost",NA,NA
"176","10177","TS Barry storm surge- all nests and chicks lost",NA,NA
"177","10180","18 July- nest found with no adults present, but adults seen here on several surveys prior to TS Barry. The nest must have begun to hatch around the time of storm and was abandoned by adults? eggs dense with chicks but nest failed.",NA,NA
"178","10200","strong south winds and storms",NA,NA
"179","10201","25 April - heavy storm with strong south winds likely the cause of nest failure. No adults or eggs present. Could not find nest stick and area had been overwashed from surge.",NA,NA
"180","10202","photo evidence confirms a GC hole at nest scrape",NA,NA
"181","10203","5/29 stick knocked over; cattle disturbance in area; nest has been around since 5/3, still eggs on 5/24, maybe hatched maybe not; adults divebombing",NA,NA
"182","10205","evidence of coyote and GC at nest",NA,NA
"183","10206","24 May- piece of egg shell in nest with 1E. Angry adults around. Hatch?","could have been incubating the 1 remaining egg and i put cam on to see if it was abandoned or not. but means the others didn't hatch?? if this is cam 11, cam isn't placed until 24 may (but i don't have photos from that day?), then pics are blurry/white until 26 may, bird is incubating on 29 may to 1 jun, then cam picked up 2 jun","think it must be 206 bc there wasn't fence where 281 was. the dates are just a bit weird?bottle in photos seems to match field photo of 206 from 20-may, but bird is incubating way past est hatch. Also, I wasn't in field 5/24, so who placed cam? Unless there's another folder somewhere?"
"184","10207","cattle disturbance nearby",NA,NA
"185","10208","strong south winds and storms",NA,NA
"186","10209","15 May SB could not find nest or stick",NA,NA
"187","10210","nest has been around since 5/3, still eggs on 5/24, maybe hatched maybe not; update HATCHED per camera :)","originally said hatch was 5/26, but I see chicks in photo 5/24",NA
"188","10211","how old were chicks?","behind 256 or 257 (whichever it is) in group that got nailed by coyote?",NA
"189","10212",NA,NA,NA
"190","10213","vehicle/ATV tracks through the nest",NA,NA
"191","10214","no signs indicating cause of failure. photo shows no nest scrape on 5/3, but the stick is present.",NA,NA
"192","10215",NA,NA,NA
"193","10217","nest has been around since 5/3, still eggs on 5/24, maybe hatched maybe not",NA,NA
"194","10218","could not be located after May 15, fate unknown.",NA,NA
"195","10219","nest has been around since 5/3, still eggs on 5/24, maybe hatched maybe not",NA,NA
"196","10220",NA,NA,NA
"197","10223","SB placed camera 5/20","coyote","must have swapped out cam ?- first cam starts ""1/13"" at ""12:57am""  and ends on ""1/17"" at ""11:30am""; where are the photos from after 6/2? Never mind, 6/2 is end date; looks like cattle, not coyote? After 5/31 bird stops incubating"
"198","10224",NA,NA,NA
"199","10225","6 June- area flooded, not able to access this stretch. 3-4 day old chick seen on camera 6/6","looks like trampled by cow, but wasn't","6/7 coyote in pics chick 3-4d fleeing nest scrape just beforehand; 2-3d chick being fed 6/6"
"200","10226","5/29 - angry adults in area; also lots of disturbance - maybe run over?",NA,"is 223 behind 226? What is second set of photos? unclear from photos - cannot see bird"
"201","10227","6 June 1C 1d old, 1E, the egg is not viable",NA,NA
"202","10228","24 May- ghost crab hole and tracks at nest, as well as cattle tracks through the nest- KBB. unknown cause of failure.",NA,NA
"203","10229","no sign of chicks or adults in area; unclear from camera footage, maybe take another look","look @ MFDC5451.JPG 5/26 seems to be leaving nest a lot, unlike 210 which has babies - but could be due to when camera fires; cows galore on 6/27, then cam knocked over @ 6:14am","229 is behind 210 in the photos; 5/26- bird is still near stick; chick-like objects night before, changed posture, male visiting more"
"204","10230",NA,NA,NA
"205","10231","DATES AREN'T RIGHT IN FOLDER (29 may-21 jun). 6 June- check cam on nest for fate confirmation","this is 048: what happened to camera after 5/26 (if that is indeed nest 231)? Did those guys find it? Never mind, still there 5/27!! Feeding chick?? MFDC0148","5/30 cattle and coyote; 5/31 still seems to be incubating, that night more disturbance; bird returns on 6/1; night of 6/3 LOTS of cattle activity; not sure how much camera was moved by 6l--cattle but appears to be cause of failure and then camera just stays there"
"206","10232",NA,NA,"where did i see there was a cam?"
"207","10233",NA,"photos found?","notes say there was a cam"
"208","10234","12 June- check game camera for fate confimation; birds present early morning on 6/8, not present during middle of day or evening; night of 6/8 game camera knocked over by cattle; placed too far away to tell hatch or no","hard to tell from game camera - birds present at 9 am on 6/8 and then disappear by 10am, and then there are lots of cows in the area starting around 830 pm, then cam knocked over early morning","folder marked 234 prob isn't, bc cam was supposedly switched on 6/2"
"209","10235","adults divebombing, angry; no sign of chicks","bird in scrape 5/24, then camera knocked over","wait, I think ""234"" is actually 235. or it started on 235 and moved to 234?"
"210","10236","28 May- eggs floating vertical almost to surface. 12 June- SB and KBB approached an empty nest scrape. no chicks observed but angry adults present, and downy feathers in nest scrape confirming chicks in the scrape.",NA,NA
"211","10237","28 May- nest run over by vehicle, stick crushed as well.",NA,NA
"212","10238",NA,NA,NA
"213","10239","3 June- off the nest scrape but still nearby. some pinning of the primaries has begun but still small with an egg tooth. photos by KBB",NA,"changed k to hatch date"
"214","10240","9 May- SB deployed camera on nest. 15 May cattle disturbance. 24 May- egg shell fragment in cup, but otherwise empty KBB","I tihnk 240 and 241 are on the same camera based on cam photo of Katie, it's the ""too high"" one. I *think* this is the nest on camera 1, either that or 242/240 are switched","but this one was empty on 15 may?"
"215","10241","6/2 chick behavior; 9 May- SB deployed camera on nest. 2 June- KBB and SB observed adults throwing poop, hovering, aggressive indicating chicks. Check camera for more evidence. ","photos in multiple folderswhere are these photos? Cam 11? camera placed too far away to determine fate. Plus camera says placed on 9 may, not 24 may. And that nest looks like 206 with the bottle","or maybe not? Still incubating 5/31, 6/1 lady drives by but birds come back, pair is flapping a lot; coyote in area night of 6/2 but unclear if near nest"
"216","10242","9 May- SB deployed camera on nest. 15 May SB could not find; looks like something was digging in area around stick","reason to think 242 had a camera at all?? camera placed too far away to determine fate. Looks like placed on 5/9, but no photos taken? Then next placed on 5/17","is the mystery camera before 226/223 one of the ones placed 5/9? Must be (unknown 01). Coyote on night of 5/20 (did not see before?)"
"217","10245","5/29 - adults very agitated in area, fake brooding, circling; no starring yet 5/31- nest was lost to an afternoon storm that brought a surge which overwashed the nest. adults were observed selecting a new nest site and scraping. KBB",NA,NA
"218","10246",NA,NA,NA
"219","10247","5/29 tire tracks all through area, pieces of egg shell","I think the mystery nest is just 241 continued! must be mystery nest after 240/241 on cam 3, based on timing of field photos vs cam photos","lots of people in that are on night of 25 May - messing with nest? There for <10 minutes. Then more vehicles the next day. But bird is still coming back regularly on 28 May. Then coyote that night."
"220","10248","5/29 tire tracks through area but nest still there. 6/2 run over by vehicle. clear evidence with crushed bits of wooden nest stick, gooey egg yolk, and tire track through the nest",NA,NA
"221","10249","5/29 tire tracks through area (nest near 247). vehicle possibly on camera (from nest 241)",NA,NA
"222","10250",NA,NA,NA
"223","10251",NA,NA,NA
"224","10252","no starring yet but heard chicks inside 5/29, SB check for photo for chick age?",NA,NA
"225","10253",NA,NA,NA
"226","10254",NA,NA,NA
"227","10255","7 June- KBB had chick behavior, lots of diving and angry adults pooping in the area. Hatch likely before the storm hit on June 5.","did i write 255 in my notes instead of 355?",NA
"228","10256","camera placed 5/15","coyote","check out the ghost crab night of 5/29??"
"229","10257","camera placed 5/15 which other nests on cam? Should be 256, 257, 211","coyote; returns on 6/1","which ones are in these photos? Is it 256 or 257? On the map 257 is farther away/not in group"
"230","10258","camera placed 5/15","is probably barely visible behind the other nests, and probably faced same coyote attack","I don't think 258 is part of this group. Is it the mystery nest after 240/241 on cam 3? Except it says could not find and you can clearly see the stick in those photos on 29 May?"
"231","10260","3 June- 1E cold and wet ",NA,NA
"232","10261","3 June- 2E cold and wet",NA,NA
"233","10262","3 June- 1E cold and wet",NA,NA
"234","10263",NA,NA,NA
"235","10264",NA,NA,NA
"236","10265",NA,NA,NA
"237","10266","12 June- SB and KBB discovered nest empty but signs of hatch. Just east we found the adults with 2 young chicks and banded them. Nest hatched earlier than expected.",NA,NA
"238","10267","not tracked to fate. could not be relocated- bad coordinate",NA,NA
"239","10268","28 May- vehicle tracks everywhere in area. Could not locate stick.",NA,NA
"240","10269","6 June- chick in scrape 1d, 2E",NA,NA
"241","10270","3 June- poop in nest scrape, chick behavior by adults, very aggressive",NA,NA
"242","10271",NA,NA,NA
"243","10273","3 June- egg cold and wet in scrape",NA,NA
"244","10274","not sure what caused cracked egg - was the bird still incubating the cracked egg??","these photos were actually a continuation of 048. in the end, prob doesn't matter if this is 274 vs 275, 277, etc. All found on same day and observed failed on same day","I think this is the camera labeled ""too early for 329""; lots of human & cattle disturbance on the 27th; unclear which caused fate but ppl were there for a looong itme"
"245","10275","* 6/3 - near dumped flatscreen TV, probably abandoned; looked like nest scrape but no bird seen on nest either time I passed; stick was knocked over so hard to tell where original nest scrape was or if this was an egg knocked out of scrape. human-caused abandonment/nest failure.","was there a camera? Or did I just pick 274 and 275 bc of location?",NA
"246","10276",NA,NA,NA
"247","10277","nest observed on 26 May with no activity at nest. 28 May- KBB- nest was run over by vehicle",NA,NA
"248","10278","28 May- KBB observed human tracks leading up to nest. Must have occurred on May 27 (Memorial Day) because the nest was active on May 26 while stewarding. Someone may have entered the colony and approached nest stick.",NA,NA
"249","10279","28 May- nest was either trampled by vehicle holiday traffic or cattle",NA,NA
"250","10280",NA,NA,NA
"251","10281","6/3 SB could not find stick or scrape, tire tracks criss-crossing area",NA,NA
"252","10282","run over by vehicle",NA,NA
"253","10283",NA,NA,NA
"254","10284","one light and one dark egg. 3 June- pale egg did not hatch. chick looks older, 5-6d",NA,NA
"255","10285",NA,NA,NA
"256","10286","11 June- area overwashed from June 5th surge likely the cause of failure.",NA,NA
"257","10287",NA,NA,NA
"258","10288","6/16 - 1 chick, 1 egg","???","sure that this is correct nest? Where are chicks? Why does it go til 26 jun?"
"259","10289","6/4 camera footage of coyote","coyote",NA
"260","10290","11 Jun - could not find nest or stick",NA,NA
"261","10291","11 Jun - stick half buried by storm surge",NA,NA
"262","10292",NA,NA,NA
"263","10293","4 June- SB- could not find nest stick on wrack line; probably washed out",NA,NA
"264","10295","6/4 camera footage of coyote, stick dug up, evidence of digging around nest","camera confirmed visual evidence",NA
"265","10296","6/4 stick dug up, digging nearby; right near depredated nests",NA,NA
"266","10298","10 June- check camera set on nest for fate confirmation",NA,"empty 1 week before expected hatch - check cam for cause. Could be cattle (6/8) but also something triggers camera night of 6/7 (can't see anything at all in photos)"
"267","10299",NA,"photos of adults with fish at nest, and adult with a chick on june 19-20. camera determined nest fate.","fully mobile chick in photo HUNT0327 (6/20) maybe 3 days old?"
"268","10300",NA,NA,NA
"269","10301",NA,NA,NA
"270","10302","10 June- icon color in Gaia indicated this was a failed nest so did not check it",NA,NA
"271","10303","11 June- icon color in Gaia indicated this was a failed nest so did not check it",NA,NA
"272","10304",NA,NA,NA
"273","10305","10 June cattle traffic, no chick behavior from adults",NA,NA
"274","10306",NA,NA,NA
"275","10307",NA,"fate unclear from camera footage","camera was at a terrible angle - was active for roughly 2 days; starts 1/1 at 2:20; something triggers it the following night (1/2 @ 14:52) bird comes back but does not appear to continue incubating"
"276","10308","10 June- check camera set on nest for fate confirmation; fate from camera unclear","fate is unclear from camera footage","abandoned bc nothing triggered the camera between 6/3 and 6/9. can't see where nest is. There is one bird but very far from camera; that bird may still be there on jun 18/19?. Cows on first day but unclear how much disturbance"
"277","10309","11 Jun - stick half buried by storm surge",NA,NA
"278","10310","7/3 - 1 chick, 1 egg; camera placed 6/17","why were 310 and 311 in red in the original spreadsheet? Was I not sure they were the correct nests? Nest 310 is labeled in photo. Dates don't seem to match what's in my notebook. Unless the one egg w/ants is the one that didn't hatch?",NA
"279","10311","camera placed 6/21; chick ~5 days old found within 2ft of nest-WHAT DAY???",NA,NA
"280","10312","hatch day?",NA,NA
"281","10313","6/17 - probably abandoned, may have been abandoned when marked. egg floated very high, no sounds from within, no bird ever seen on nest. not sure when abandoned",NA,NA
"282","10314","28 June- nest was checked in morning by SB and had 3 eggs. Nest run over by vehicle a few hours later. Not sure how to treat this for the nest model? last check and failure occurred hours apart from each other- KBB",NA,NA
"283","10315","coyote tracks somewhat close by; nest in the middle of a line of ant nests? see photo",NA,NA
"284","10316",NA,NA,NA
"285","10317","camera placed 6/21","nothing in the folder???","notes say there was a cam"
"286","10318","1 July- one chick hatched and dry by the evening and SB banded it. KB went to nest early 2 July and saw the second chick emerge from egg. Likely completed hatch on July 2",NA,NA
"287","10319","6/30 - 2 chicks; camera placed 6/20",NA,NA
"288","10320",NA,NA,NA
"289","10321",NA,NA,"there is also a LETE nest marked 321 on RUTH with a camera on it - what is the deal?"
"290","10322","camera placed 6/21","in cam 226/223 album - was this one originally marked 321?",NA
"291","10323","camera placed 6/21;","chick on camera 7/5, walking, 2-3 days old (video); hatch was marked as 7/3",NA
"292","10324","camera placed 6/21; camera died 6/27, appears to have overheated (prolonged temps registered between 120 and 131 degrees F); nest had not hatched (egg visible in last photo)","camera appears to have overheated (see other notes)","maybe nest was marked ""334"" incorrectly in the field? WHICH NEST IF NOT 324this is not nest 324 - folder was mislabeled - 334"
"293","10325","camera placed 6/21","pulled cameras before July 4th weekend, then couldn't get back to area until 7/9","changed cam fate to abandoned based on hatch date - must have been incubating past viability of eggs?"
"294","10326","camera placed 6/21","same camera as 325",NA
"295","10327","camera placed 6/21","pulled cameras before July 4th weekend, then couldn't get back to area until 7/9",NA
"296","10328","chicks banded at nest on June 27th by KBB",NA,NA
"297","10329","left camera placed high during storm - check for fate","adult not seen on camera coming back to nest after storm starts (frequent photos during storm)","cam fate was originally marked ""W""; bird still on nest at 7:52 pm on 12 Jul; comes back briefly on 14 Jul at 140 pm; no flooding or surge seen, maybe got too windy?"
"298","10330","no signs of what happened/egg shells/anything",NA,NA
"299","10331","hatch day?",NA,NA
"300","10332",NA,"see photos in ""unknown holly nest""",NA
"301","10333",NA,"see photos in ""unknown holly nest""",NA
"302","10334","check field observations for fate?? site was marked as HBTO - briefly moved to RUTW but I think the nest 334 on RUTW is actually 324, mislabeled stick","25 Jun - M bringing fish; cam stops mid afternoon on 27 Jun",NA
"303","10335","hatch day?",NA,NA
"304","10336","7/2 egg shell found with what looks like a bite out of it (SB has pic)",NA,NA
"305","10337","why hatch??",NA,NA
"306","10338","not floated?? TS Barry","nest was still there 7/9; may have hatched before storm-check posture; was there a storm cam? Field notes say cam on 7/11-unless it means I pulled it that day","was camera pulled for 4th of july weekend? Pics stop on 7/4 in the one folder"
"307","10339","TS Barry","storm cam","cattle in area for hours on night of 7/13. hard to tell if bird was still incubating 7/13. was incubating evening of 7/12"
"308","10340",NA,"pulled camera before storm",NA
"309","10341","4 Jul - cattle disturbance, probably trampled, no egg shell found",NA,NA
"310","10342","4 Jul - tire tracks over nest, smashed egg shells found",NA,NA
"311","10343","9 Jul - hatched egg shell found a few inches from where nest was, male making clicking noises, female may have moved farther East but did not have time to look thoroughly",NA,NA
"312","10344","4 Jul - installed symbolic fencing (3 posts); 8 Jul - caught female with bow net and banded, tagged with VHF tag; bird did not return to nest for half an hour (or more?) after tagging; bird relocated at far end of site",NA,NA
"313","10345","8 Jul - attempted bow net, bird ran out too quickly and was not caught. SB has more detailed notes; 9 Jul - eggs covered in ants, one smells bad, but bird still incubating 18 July-nest had an egg shell with sand inside. Not sure what happened to this nest, but the eggs were weird before TS Barry.",NA,NA
"314","10346",NA,NA,NA
